"order_id","order_status","distance_to_customer","distance_rider_from_store","delivery_service_level","rider_arrived_at_pickup_time","order_ready_for_pickup_time","order_pickup_done_time","order_delivered_time"
2278979,20,12.39,8.84,3,2024-12-14 12:12:00.944 +0800,2024-12-14 10:36:46.730 +0800,2024-12-14 12:12:02.301 +0800,2024-12-14 13:09:02.798 +0800
2278980,30,6.44,5.18,,,,,
2278981,20,4.09,0.59,2,2024-12-14 08:12:51.095 +0800,2024-12-14 07:50:31.457 +0800,2024-12-14 08:12:51.896 +0800,2024-12-14 08:49:55.190 +0800
2278982,20,8.07,5.13,3,2024-12-14 11:25:16.978 +0800,2024-12-14 10:42:09.677 +0800,2024-12-14 11:40:52.817 +0800,2024-12-14 12:14:48.281 +0800
2278983,20,2.68,1.93,2,2024-12-14 14:04:03.875 +0800,2024-12-14 14:19:40.871 +0800,2024-12-14 16:18:34.118 +0800,2024-12-14 16:39:02.093 +0800
2278984,20,4.74,3.32,2,2024-12-14 09:30:56.483 +0800,2024-12-14 09:02:45.836 +0800,2024-12-14 09:30:57.499 +0800,2024-12-14 09:58:36.321 +0800
2278985,30,1.79,1.52,,,,,
2278986,20,1.31,0.87,2,2024-12-14 09:43:51.594 +0800,2024-12-14 09:40:25.210 +0800,2024-12-14 09:56:21.070 +0800,2024-12-14 09:56:31.774 +0800
2278987,20,1.47,0.99,3,2024-12-14 09:39:50.126 +0800,2024-12-14 08:34:03.337 +0800,2024-12-14 09:48:26.242 +0800,2024-12-14 09:48:30.193 +0800
2278988,20,4.12,2.15,2,2024-12-14 09:48:00.691 +0800,2024-12-14 08:21:46.571 +0800,2024-12-14 09:48:01.845 +0800,2024-12-14 09:48:02.826 +0800
2278989,20,8.41,5.34,2,2024-12-14 11:28:44.892 +0800,2024-12-14 12:09:55.886 +0800,2024-12-14 12:30:29.722 +0800,2024-12-14 12:49:11.504 +0800
2278990,20,6.38,4.81,2,2024-12-14 10:56:37.576 +0800,2024-12-14 10:39:49.529 +0800,2024-12-14 10:56:38.720 +0800,2024-12-14 11:33:58.312 +0800
2278991,30,1.91,1.44,,,,,
2278993,20,6.38,4.81,2,2024-12-14 10:56:26.496 +0800,2024-12-14 09:26:42.814 +0800,2024-12-14 10:56:27.318 +0800,2024-12-14 11:34:03.389 +0800
2278994,30,6.91,3.54,,,,,
2278996,20,14.67,7.64,3,2024-12-14 11:32:34.563 +0800,2024-12-14 11:13:58.594 +0800,2024-12-14 11:37:35.301 +0800,2024-12-14 12:11:15.386 +0800
2278997,20,1.34,0.89,2,2024-12-14 08:54:50.632 +0800,2024-12-14 08:12:02.238 +0800,2024-12-14 08:54:51.816 +0800,2024-12-14 09:01:11.896 +0800
2278998,20,6.92,4.38,2,2024-12-14 09:24:24.590 +0800,2024-12-14 08:46:26.039 +0800,2024-12-14 09:24:25.782 +0800,2024-12-14 09:46:37.006 +0800
2278999,20,4.36,2.31,3,2024-12-14 10:14:40.021 +0800,2024-12-14 09:58:44.233 +0800,2024-12-14 10:14:42.014 +0800,2024-12-14 10:44:40.718 +0800
2279000,20,4.33,0.57,3,2024-12-14 10:42:53.287 +0800,2024-12-14 10:07:41.008 +0800,2024-12-14 10:42:54.619 +0800,2024-12-14 10:55:10.623 +0800
2279001,20,2.45,1.07,2,2024-12-14 10:56:01.123 +0800,2024-12-14 09:12:48.578 +0800,2024-12-14 11:01:13.241 +0800,2024-12-14 11:11:57.047 +0800
2279003,20,4.73,2.74,2,2024-12-14 09:56:53.132 +0800,2024-12-14 08:44:01.307 +0800,2024-12-14 09:56:55.646 +0800,2024-12-14 10:33:31.578 +0800
